ProjectName,ToolsNeeded,MaterialsNeeded,EstimatedTime,SkillLevel,Steps
Fix Leaky Faucet,Adjustable wrench,Replacement washer,30 minutes,Beginner,"Turn off water supply; Remove faucet handle; Replace washer; Reassemble faucet; Turn on water and test"
Patch Drywall Hole,Putty knife,Spackle,1 hour,Beginner,"Clean area; Apply spackle; Smooth with putty knife; Let dry; Sand and paint"
Unclog Drain,Plunger,None,15 minutes,Beginner,"Place plunger over drain; Pump plunger; Remove debris; Run water to test"
Replace Light Fixture,Screwdriver,New light fixture,45 minutes,Intermediate,"Turn off power; Remove old fixture; Connect wires; Install new fixture; Turn on power and test"
Fix Squeaky Door,Hammer,WD-40,10 minutes,Beginner,"Remove hinge pins; Apply WD-40; Reinsert pins; Open and close door to test"
Seal Window Draft,Caulk gun,Caulk,30 minutes,Beginner,"Clean window frame; Apply caulk; Smooth with finger; Let dry"
Replace Air Filter,None,New air filter,10 minutes,Beginner,"Locate filter slot; Remove old filter; Insert new filter"
Paint a Room,Paint roller,Paint,4 hours,Beginner,"Prep room; Tape edges; Apply primer; Paint walls; Clean up"
Fix Running Toilet,Adjustable wrench,Replacement flapper,30 minutes,Beginner,"Turn off water; Remove tank lid; Replace flapper; Turn on water and test"
Install Shelf,Drill,Shelf kit,1 hour,Intermediate,"Measure and mark; Drill holes; Install anchors; Mount shelf"
